edge_id	condition	complex_id	source	target	source_protein	target_protein	source_gene	target_gene	apex	apex_mw	score	qvalue	profile_pearson_correlation	edge_resolution_class	edge_feature_type	complex_calling_mode	source_total_abundance	target_total_abundance
Control|B5MDU6|E5RJ52	Control	Control_mean_profile_network	B5MDU6|Control	E5RJ52|Control	B5MDU6	E5RJ52	LDAH	AP3M2	1		1.0		1.0	condition_mean_profile_correlation	protein	Control	52785974.5374341	34143374.7289388
Control|B5MDU6|Q01968-2	Control	Control_mean_profile_network	B5MDU6|Control	Q01968-2|Control	B5MDU6	Q01968-2	LDAH	OCRL	1		1.0		1.0	condition_mean_profile_correlation	protein	Control	52785974.5374341	58027541.9391889
Control|B5MDU6|Q13472-2	Control	Control_mean_profile_network	B5MDU6|Control	Q13472-2|Control	B5MDU6	Q13472-2	LDAH	TOP3A	1		1.0		1.0	condition_mean_profile_correlation	protein	Control	52785974.5374341	47613147.3924012
Control|B5MDU6|Q8IZD4	Control	Control_mean_profile_network	B5MDU6|Control	Q8IZD4|Control	B5MDU6	Q8IZD4	LDAH	DCP1B	1		1.0		1.0	condition_mean_profile_correlation	protein	Control	52785974.5374341	80367972.9823028
Control|B5MDU6|Q9NXX6	Control	Control_mean_profile_network	B5MDU6|Control	Q9NXX6|Control	B5MDU6	Q9NXX6	LDAH	NSMCE4A	1		1.0		1.0	condition_mean_profile_correlation	protein	Control	52785974.5374341	30043618.4531731
Control|B9A058|E5RG39	Control	Control_mean_profile_network	B9A058|Control	E5RG39|Control	B9A058	E5RG39	HIBCH	ZNF696	18		1.0		1.0	condition_mean_profile_correlation	protein	Control	549835758.337464	3192995.11016653
Control|E5RJ52|Q01968-2	Control	Control_mean_profile_network	E5RJ52|Control	Q01968-2|Control	E5RJ52	Q01968-2	AP3M2	OCRL	1		1.0		1.0	condition_mean_profile_correlation	protein	Control	34143374.7289388	58027541.9391889
Control|E5RJ52|Q13472-2	Control	Control_mean_profile_network	E5RJ52|Control	Q13472-2|Control	E5RJ52	Q13472-2	AP3M2	TOP3A	1		1.0		1.0	condition_mean_profile_correlation	protein	Control	34143374.7289388	47613147.3924012
Control|E5RJ52|Q8IZD4	Control	Control_mean_profile_network	E5RJ52|Control	Q8IZD4|Control	E5RJ52	Q8IZD4	AP3M2	DCP1B	1		1.0		1.0	condition_mean_profile_correlation	protein	Control	34143374.7289388	80367972.9823028
Control|E5RJ52|Q9NXX6	Control	Control_mean_profile_network	E5RJ52|Control	Q9NXX6|Control	E5RJ52	Q9NXX6	AP3M2	NSMCE4A	1		1.0		1.0	condition_mean_profile_correlation	protein	Control	34143374.7289388	30043618.4531731
Control|O43353|O75155	Control	Control_mean_profile_network	O43353|Control	O75155|Control	O43353	O75155	RIPK2	CAND2	22		1.0		1.0	condition_mean_profile_correlation	protein	Control	56879401.0305159	96381186.2265524
Control|O75971-2|Q96HN2-2	Control	Control_mean_profile_network	O75971-2|Control	Q96HN2-2|Control	O75971-2	Q96HN2-2	SNAPC5	AHCYL2	17		1.0		1.0	condition_mean_profile_correlation	protein	Control	26571796.2948371	162721071.722385
Control|Q01968-2|Q13472-2	Control	Control_mean_profile_network	Q01968-2|Control	Q13472-2|Control	Q01968-2	Q13472-2	OCRL	TOP3A	1		1.0		1.0	condition_mean_profile_correlation	protein	Control	58027541.9391889	47613147.3924012
Control|Q01968-2|Q8IZD4	Control	Control_mean_profile_network	Q01968-2|Control	Q8IZD4|Control	Q01968-2	Q8IZD4	OCRL	DCP1B	1		1.0		1.0	condition_mean_profile_correlation	protein	Control	58027541.9391889	80367972.9823028
Control|Q01968-2|Q9NXX6	Control	Control_mean_profile_network	Q01968-2|Control	Q9NXX6|Control	Q01968-2	Q9NXX6	OCRL	NSMCE4A	1		1.0		1.0	condition_mean_profile_correlation	protein	Control	58027541.9391889	30043618.4531731
